,0
0,2097.0037
1,2099.0488
2,2085.183
3,2064.3486
4,2056.4958
5,2085.9033
6,2081.617
7,1976.961
8,2073.3296
9,2093.484
10,2090.836
11,2048.7654
12,2067.8027
13,2081.0442
14,2036.1238
15,2087.6572
16,2078.7544
17,2074.1196
18,2090.6897
19,2086.871
20,2086.8342
21,2031.9888
22,2087.3535
23,2084.7778
24,2073.6045
25,2049.0596
26,2076.6436
27,2081.8904
28,2065.9253
29,2097.5693
30,2097.9617
31,2091.4995
32,2094.9333
33,2019.0642
34,2092.8308
35,2089.0898
36,2074.1816
37,2080.9028
38,2077.3538
39,2069.5833
40,2093.892
41,2093.2036
42,2097.7954
43,2062.3823
44,2087.665
45,2024.3159
46,2072.1577
47,2052.4153
48,2036.0104
49,2089.526
50,2075.2412
51,2084.1055
52,2076.1511
53,2082.307
54,2120.1328
55,2051.3755
56,2075.7905
57,2086.936
58,2105.0498
59,2095.9453
60,2024.062
61,2093.9077
62,2088.6084
63,2073.8416
64,2086.6138
65,2072.505
66,2004.1765
67,2096.8047
68,2084.869
69,2074.8152
70,2078.67
71,2074.184
72,2089.0083
73,2076.9912
74,2084.2048
75,2072.0386
76,2008.2593
77,2081.4983
78,2084.1902
79,2098.0444
80,2079.8313
81,2090.2212
82,2084.2124
83,2045.841
84,2093.9639
85,2072.1584
86,2089.8528
87,2059.6982
88,2093.628
89,2086.6418
90,2060.2559
91,2087.0312
92,2104.2842
93,2076.6843
94,2078.4316
95,2084.9307
96,2076.1396
97,2062.457
98,2092.1514
99,2094.396
100,2084.269
101,2093.8438
102,2086.141
103,2075.7876
104,2074.3794
105,2090.832
106,2089.121
107,2092.1162
108,2081.1667
109,2099.027
110,2073.6787
111,2082.731
112,2049.3113
113,2093.5723
114,2085.0142
115,2070.4177
116,2066.5356
117,2068.7007
118,2089.4258
119,2092.9006
120,2089.8496
121,2079.706
122,2105.7803
123,2091.166
124,2094.1287
125,2088.6067
126,2070.2832
127,2085.028
128,2080.1985
129,2088.9832
130,2070.614
131,2079.6384
132,2070.233
133,2105.427
134,2083.6538
135,2061.3015
136,2014.2614
137,2098.8413
138,2074.4333
139,2085.626
140,2079.8281
141,2033.3833
142,2072.4004
143,2074.3079
144,2050.9976
145,2051.3267
146,2044.1792
147,2050.8115
148,2086.072
149,2121.8157
150,2016.904
151,2079.2563
152,2080.205
153,2069.3257
154,2092.8608
155,2086.0337
156,2100.229
157,2081.6099
158,2087.532
159,2090.1143
160,2077.5166
161,2051.3906
162,2096.0857
163,2093.6338
164,2078.3474
165,2081.05
166,2054.1226
167,2074.7986
168,2026.7474
169,2089.4033
170,2089.498
171,2089.9011
172,2085.3423
173,2024.5945
174,2094.0757
175,2081.8098
176,2094.8752
177,2092.1304
178,2087.5542
179,2088.5405
180,2085.5874
181,2035.1882
182,2081.2266
183,2037.5381
184,2082.0972
185,2083.6729
186,2084.1382
187,2093.8796
188,2098.5696
189,2090.98
190,2062.4155
191,2097.4646
192,2074.6968
193,2118.4219
194,2063.1592
195,2077.6443
196,2089.453
197,2093.8462
198,2041.5518
199,2088.23
200,2071.108
201,2070.3079
202,2092.3987
203,2029.2213
204,2076.2114
205,2095.3267
206,2122.975
207,2072.3955
208,2072.5457
209,2081.6409
210,2084.9517
211,2034.625
212,2084.7017
213,2069.4414
214,2060.612
215,2084.5261
216,2089.5154
217,2083.391
218,2058.2778
219,2062.44
220,2031.8915
221,2089.51
222,2091.8784
223,2101.9658
224,2097.005
225,2091.8904
226,2093.044
227,2092.7427
228,2080.016
229,2083.5276
230,2056.8616
231,2083.2178
232,2096.3862
233,2090.4897
234,2052.2349
235,2104.7554
236,2079.612
237,2094.1035
238,2095.414
